OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
+,6121,4843,6319,2804,9679,349,621,4638,7019,9318,1820,1193,5653,2771,60,4724,7503,7658,94,9627,757,4188,1184,5933,3483
+,2176,647,3848,9600,22,9852,9903,4367,3469,856,7908,8406,5360,2840,9490,9353,8233,3205,8927,3952,4346,8333,1968,7368,1196
+,9285,1628,7409,4208,4467,297,5894,4231,1922,3058,6949,151,5448,4815,9701,9560,1902,4053,734,4113,2557,224,3413,370,7392
+,4128,3807,5852,6932,6354,1032,5542,9405,3978,8532,4926,172,5305,9076,4404,8747,6966,2388,8849,6823,3355,1842,1410,3651,88
+,8523,1071,2653,5876,2550,6538,9740,3612,8000,3611,4083,3454,6349,9851,1712,3036,1448,9893,3205,5127,8022,6113,184,4925,3258
+,5966,2176,2084,3417,2556,9172,9969,7015,9741,5675,7114,7908,3865,5692,4776,1658,8843,9990,2896,6920,8126,4383,3197,8500,1520
+,5857,1856,5733,2811,9393,891,4346,2574,5009,9022,6764,8647,9124,9761,4472,5579,7076,3614,6380,8241,5346,7265,8012,6708,1167
+,1537,8229,2495,7383,8595,1403,7440,6368,4041,5149,3018,2674,9337,2212,1637,1397,6280,1407,9557,5637,7481,7472,2407,1454,3698
+,306,3530,7859,7815,9333,3283,9020,6800,4652,4873,6547,1265,1024,2769,9550,3410,6343,1751,8220,5795,6168,68,1989,384,6908
+,7192,5072,536,8386,2433,7440,8246,434,3436,8312,9000,9565,4292,7656,1151,9941,924,4145,8041,4102,6602,3934,5422,8421,4853
-,5857,1856,5733,2811,9393,891,4346,2574,5009,9022,6764,8647,9124,9761,4472,5579,7076,3614,6380,8241,5346,7265,8012,6708,1167
+,1523,4532,8940,7740,7953,2381,6016,8503,9168,7400,7607,9552,3281,8972,917,7653,9743,6657,5724,6996,219,9672,7760,9388,9712
+,7490,347,174,1463,1288,5267,6553,4300,8345,9460,7974,3024,353,7235,7066,8894,5592,6616,9768,2938,3101,4259,6684,2270,5058
+,2627,2352,918,268,4913,6902,6240,9041,5280,598,2474,9059,1294,8230,5248,7547,6527,3841,3339,3998,161,3774,8092,777,8413
+,1346,5015,6566,7072,2938,4971,6453,6785,7826,8152,6263,3904,2963,6972,5557,5659,7028,3213,6316,4315,5145,8634,4421,3177,4622
+,1229,3865,4133,8552,6572,3255,8706,2528,2152,7165,8004,4845,6667,2371,7086,4388,1188,8516,7593,6519,9097,3680,8882,1735,2912
+,8894,7962,3040,6604,5777,3282,8674,4468,3886,9815,5689,3164,3682,9650,8045,3104,8262,4205,7931,6007,6584,3452,3441,7195,4161
+,1172,5809,3502,9984,7198,1619,4800,6520,8712,6540,3282,3643,131,5325,5194,5505,5616,4977,3502,2918,4743,159,7956,8379,8324
+,3273,4232,9863,7054,9650,1711,3444,6538,3903,7548,4591,6223,5105,1794,5805,6909,5772,2914,5873,5687,2583,3839,4323,9864,4053
+,3116,4098,9398,1474,1833,2046,7490,8098,9189,2735,8472,6785,1421,7978,4129,8655,5821,8286,6788,4744,4399,7865,9477,6678,3559
+,6783,379,3242,2714,6309,3086,727,6340,3785,6106,5784,2566,5583,3577,6417,2213,8708,7936,2673,2488,3841,5980,5332,3930,7145
-,1229,3865,4133,8552,6572,3255,8706,2528,2152,7165,8004,4845,6667,2371,7086,4388,1188,8516,7593,6519,9097,3680,8882,1735,2912
+,9462,711,9840,2159,3056,1552,6967,2876,7351,4839,8718,8025,475,1674,768,8568,9012,3117,1229,465,4522,6646,3984,6525,8243
+,1728,4795,6966,1685,3324,4810,5608,6748,1413,2836,734,8423,1363,5734,5202,4071,5953,6009,1124,2313,6623,8478,2424,8942,8370
+,8319,6089,8048,3788,3207,7721,2935,5422,6075,9008,5035,7638,2221,7909,9341,3485,392,3757,5942,4591,8923,6567,2812,4624,2997
+,7084,436,6120,664,4475,6858,2330,1733,6533,2640,3206,837,3559,7078,2680,2215,8509,6706,5500,1224,1517,9759,5299,6534,4662
+,6310,1679,9924,2593,5250,5148,422,5730,8501,6106,8280,967,5011,6444,6419,2461,9001,8035,2141,7866,6944,6711,377,7938,3269
